id,status,enrolid,userid,timestart,timeend,modifierid,timecreated,timemodified
167,0,46,14330,0,2147483647,14330,0,0
168,0,46,29386,0,2147483647,16050,0,0
169,0,46,16050,0,2147483647,16050,0,0
170,0,43,29410,0,2147483647,16136,0,0
171,0,43,16136,0,2147483647,16136,0,0
172,0,46,29404,0,2147483647,15879,0,0
173,0,46,15879,0,2147483647,15879,0,0
174,0,46,29374,0,2147483647,14927,0,0
175,0,46,14927,0,2147483647,14927,0,0
176,0,40,29420,0,2147483647,17009,0,0
177,0,40,17009,0,2147483647,17009,0,0
178,0,40,29404,0,2147483647,15879,0,0
179,0,40,15879,0,2147483647,15879,0,0
180,0,46,29298,0,2147483647,15877,0,0
181,0,46,15877,0,2147483647,15877,0,0
182,0,40,29424,0,2147483647,14746,0,0
183,0,40,14746,0,2147483647,14746,0,0
184,0,40,29402,0,2147483647,14888,0,0
185,0,40,14888,0,2147483647,14888,0,0
186,0,46,29432,0,2147483647,17006,0,0
187,0,46,17006,0,2147483647,17006,0,0
188,0,40,29435,0,2147483647,15882,0,0
189,0,40,15882,0,2147483647,15882,0,0
190,0,46,29436,0,2147483647,15039,0,0
191,0,46,15039,0,2147483647,15039,0,0
192,0,46,29437,0,2147483647,14893,0,0
193,0,46,14893,0,2147483647,14893,0,0
194,0,40,29426,0,2147483647,14791,0,0
195,0,40,14791,0,2147483647,14791,0,0
196,0,40,29437,0,2147483647,14893,0,0
197,0,40,14893,0,2147483647,14893,0,0
198,0,46,29435,0,2147483647,15882,0,0
199,0,46,15882,0,2147483647,15882,0,0
200,0,40,29442,0,2147483647,14764,0,0
201,0,40,14764,0,2147483647,14764,0,0
202,0,46,29441,0,2147483647,16314,0,0
203,0,46,16314,0,2147483647,16314,0,0
204,0,139,29313,0,2147483647,17008,0,0
205,0,139,17008,0,2147483647,17008,0,0
206,0,40,29440,0,2147483647,14823,0,0
207,0,40,14823,0,2147483647,14823,0,0
208,0,43,29402,0,2147483647,14888,0,0
209,0,43,14888,0,2147483647,14888,0,0
210,0,46,29440,0,2147483647,14823,0,0
211,0,46,14823,0,2147483647,14823,0,0
212,0,43,29440,0,2147483647,14823,0,0
213,0,43,14823,0,2147483647,14823,0,0
214,0,139,29440,0,2147483647,14823,0,0
215,0,139,14823,0,2147483647,14823,0,0
216,0,40,29363,0,2147483647,16994,0,0
217,0,40,16994,0,2147483647,16994,0,0
218,0,46,29419,0,2147483647,17006,0,0
219,0,40,29417,0,2147483647,16997,0,0
220,0,40,16997,0,2147483647,16997,0,0
221,0,43,29417,0,2147483647,16997,0,0
222,0,43,16997,0,2147483647,16997,0,0
224,0,46,15849,0,2147483647,15849,0,0
226,0,139,15849,0,2147483647,15849,0,0
227,0,43,29377,0,2147483647,17007,0,0
228,0,43,17007,0,2147483647,17007,0,0
229,0,43,29406,0,2147483647,16993,0,0
230,0,43,16993,0,2147483647,16993,0,0
232,0,43,14513,0,2147483647,14513,0,0
233,0,40,29308,0,2147483647,15705,0,0
234,0,40,15705,0,2147483647,15705,0,0
235,0,43,29308,0,2147483647,15705,0,0
236,0,43,15705,0,2147483647,15705,0,0
237,0,40,29278,0,2147483647,15710,0,0
238,0,40,15710,0,2147483647,15710,0,0
239,0,139,29432,0,2147483647,17006,0,0
240,0,139,17006,0,2147483647,17006,0,0
241,0,139,29302,0,2147483647,16141,0,0
242,0,139,16141,0,2147483647,16141,0,0
