id,learner_userid,course_cat_id,course_id,module_id,activity_id,active,type,timecreated,timemodified
167,29590,17,16,0,0,1,learning,"2022-05-05 23:44:04","2022-05-05 23:44:04"
168,29601,17,16,0,0,1,learning,"2022-05-05 23:44:07","2022-05-05 23:44:07"
169,29580,17,16,0,0,1,learning,"2022-05-05 23:44:10","2022-05-05 23:44:10"
170,29578,17,16,0,0,1,learning,"2022-05-05 23:44:14","2022-05-05 23:44:14"
171,29578,17,16,0,0,1,learning,"2022-05-05 23:44:14","2022-05-05 23:44:14"
172,29627,17,16,0,0,1,learning,"2022-05-05 23:44:33","2022-05-05 23:44:33"
173,29617,17,16,0,0,1,learning,"2022-05-05 23:44:44","2022-05-05 23:44:44"
174,29605,17,16,0,0,1,learning,"2022-05-05 23:44:53","2022-05-05 23:44:53"
175,29598,17,16,0,0,1,learning,"2022-05-05 23:45:50","2022-05-05 23:45:50"
176,29605,17,16,0,0,1,learning,"2022-05-05 23:46:02","2022-05-05 23:46:02"
177,29605,17,16,0,0,1,learning,"2022-05-05 23:46:02","2022-05-05 23:46:02"
178,29591,17,16,0,0,1,learning,"2022-05-05 23:46:12","2022-05-05 23:46:12"
179,29609,17,16,0,0,1,learning,"2022-05-05 23:46:29","2022-05-05 23:46:29"
180,29598,17,16,0,0,1,learning,"2022-05-05 23:47:42","2022-05-05 23:47:42"
181,29596,17,16,0,0,1,learning,"2022-05-05 23:47:44","2022-05-05 23:47:44"
182,29598,17,16,0,0,1,learning,"2022-05-05 23:47:47","2022-05-05 23:47:47"
183,29598,17,18,0,0,1,learning,"2022-05-05 23:47:50","2022-05-05 23:47:50"
184,29579,17,16,0,0,1,learning,"2022-05-05 23:47:54","2022-05-05 23:47:54"
185,29592,17,16,0,0,1,learning,"2022-05-05 23:47:57","2022-05-05 23:47:57"
186,29598,17,16,0,0,1,learning,"2022-05-05 23:47:58","2022-05-05 23:47:58"
187,29591,17,16,0,0,1,learning,"2022-05-05 23:48:02","2022-05-05 23:48:02"
188,29591,17,16,0,0,1,learning,"2022-05-05 23:48:02","2022-05-05 23:48:02"
189,29622,17,16,0,0,1,learning,"2022-05-05 23:48:13","2022-05-05 23:48:13"
190,29577,17,16,0,0,1,learning,"2022-05-05 23:48:36","2022-05-05 23:48:36"
191,29598,17,16,0,0,1,learning,"2022-05-05 23:48:47","2022-05-05 23:48:47"
192,29598,17,16,0,0,1,learning,"2022-05-05 23:48:47","2022-05-05 23:48:47"
193,29621,17,16,0,0,1,learning,"2022-05-05 23:48:55","2022-05-05 23:48:55"
194,29606,17,16,0,0,1,learning,"2022-05-05 23:49:10","2022-05-05 23:49:10"
195,29606,17,16,0,0,1,learning,"2022-05-05 23:49:10","2022-05-05 23:49:10"
196,29577,17,16,0,0,1,learning,"2022-05-05 23:49:22","2022-05-05 23:49:22"
197,29577,17,16,0,0,1,learning,"2022-05-05 23:49:22","2022-05-05 23:49:22"
198,29600,17,16,0,0,1,learning,"2022-05-05 23:49:29","2022-05-05 23:49:29"
199,29577,17,16,0,0,1,learning,"2022-05-05 23:49:58","2022-05-05 23:49:58"
200,29577,17,16,0,0,1,learning,"2022-05-05 23:49:58","2022-05-05 23:49:58"
201,29577,17,16,0,0,1,learning,"2022-05-05 23:50:05","2022-05-05 23:50:05"
202,29605,17,16,0,0,1,learning,"2022-05-05 23:50:06","2022-05-05 23:50:06"
203,29605,17,16,0,0,1,learning,"2022-05-05 23:50:06","2022-05-05 23:50:06"
204,29579,17,16,0,0,1,learning,"2022-05-05 23:50:08","2022-05-05 23:50:08"
205,29596,17,16,0,0,1,learning,"2022-05-05 23:50:21","2022-05-05 23:50:21"
206,29579,17,16,0,0,1,learning,"2022-05-05 23:50:44","2022-05-05 23:50:44"
207,29598,17,16,0,0,1,learning,"2022-05-05 23:50:59","2022-05-05 23:50:59"
208,29598,17,16,0,0,1,learning,"2022-05-05 23:50:59","2022-05-05 23:50:59"
209,29576,17,16,0,0,1,learning,"2022-05-05 23:51:00","2022-05-05 23:51:00"
210,29598,17,16,0,0,1,learning,"2022-05-05 23:51:05","2022-05-05 23:51:05"
211,29579,17,16,0,0,1,learning,"2022-05-05 23:51:48","2022-05-05 23:51:48"
212,29579,17,16,0,0,1,learning,"2022-05-05 23:51:53","2022-05-05 23:51:53"
213,29576,17,16,0,0,1,learning,"2022-05-05 23:52:12","2022-05-05 23:52:12"
214,29579,17,16,0,0,1,learning,"2022-05-05 23:52:21","2022-05-05 23:52:21"
215,29579,17,16,0,0,1,learning,"2022-05-05 23:52:21","2022-05-05 23:52:21"
216,29598,17,16,0,0,1,learning,"2022-05-05 23:52:45","2022-05-05 23:52:45"
217,29598,17,16,0,0,1,learning,"2022-05-05 23:52:45","2022-05-05 23:52:45"
218,29606,17,16,0,0,1,learning,"2022-05-05 23:53:22","2022-05-05 23:53:22"
219,29580,17,16,0,0,1,learning,"2022-05-05 23:53:38","2022-05-05 23:53:38"
220,29598,17,16,0,0,1,learning,"2022-05-05 23:53:41","2022-05-05 23:53:41"
221,29598,17,16,0,0,1,learning,"2022-05-05 23:53:41","2022-05-05 23:53:41"
222,29579,17,16,0,0,1,learning,"2022-05-05 23:53:43","2022-05-05 23:53:43"
223,29598,17,16,0,0,1,learning,"2022-05-05 23:54:14","2022-05-05 23:54:14"
224,29596,17,16,0,0,1,learning,"2022-05-05 23:54:28","2022-05-05 23:54:28"
225,29606,17,16,0,0,1,learning,"2022-05-05 23:54:34","2022-05-05 23:54:34"
226,29545,17,16,0,0,1,learning,"2022-05-05 23:54:37","2022-05-05 23:54:37"
227,29596,17,16,0,0,1,learning,"2022-05-05 23:54:45","2022-05-05 23:54:45"
228,29622,17,16,0,0,1,learning,"2022-05-05 23:54:56","2022-05-05 23:54:56"
229,29598,17,16,0,0,1,learning,"2022-05-05 23:54:59","2022-05-05 23:54:59"
230,29579,17,16,0,0,1,learning,"2022-05-05 23:55:02","2022-05-05 23:55:02"
231,29577,17,16,0,0,1,learning,"2022-05-05 23:55:09","2022-05-05 23:55:09"
232,29596,17,16,0,0,1,learning,"2022-05-05 23:55:16","2022-05-05 23:55:16"
